Index,Employed,Main_job_Title,Campus,Study_Program,Faculty_domain,Credit_transfer,T1_GPA,T2_GPA,T3_GPA,T4_GPA,T5_GPA,T6_GPA,T7_GPA,T8_GPA,T9_GPA,T10_GPA,T11_GPA,T12_GPA,Sponsor_category,Entry_eligibility,BM_Score,BI_Score,Muet_Score,Matematik,Sejarah,Matematik_Tambahan,Fizik,Kimia,Biologi,PENDIDIKAN_MORAL,Bahasa_Ci,Prinsip_Akaun,Sains,Permanent_address_state,Nationality,Race,Gender,Disability,Status,JS_Job_sector,JS_Job_sub_sector,Super_sector,major_minor
U2022_1,Yes,Lawyer,MLAKA,L.L.B. (Hons),LAW,No,3.50-4.00,3.50-4.00,3.50-4.00,3.00-3.49,3.50-4.00,3.50-4.00,3.00-3.49,3.00-3.49,no_data,3.00-3.49,2.50-2.99,3.50-4.00,Loan,IPTS,A,A,Band 4,A,A,A,no_data,no_data,no_data,A,no_data,no_data,A,SARAWAK,Malaysian,Chinese,Female,No,Single,Services,Lawyer/Legal Asst,3,0
U2022_2,Yes,Human Resources Executive,CYBER,B. B. Mgt. (Hons),MANAGEMENT,No,3.50-4.00,3.50-4.00,3.50-4.00,3.00-3.49,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,no_data,no_data,no_data,Scholarship,Diploma,A,B,Band 3,A,A,B,B,B,A,A,no_data,no_data,no_data,KELANTAN,Malaysian,Malay,Female,No,Single,Admin/Human Resources,Human Resources,3,0
U2022_4,Yes,Assistant Counsel,MLAKA,L.L.B. (Hons),LAW,No,3.00-3.49,3.50-4.00,3.50-4.00,3.00-3.49,3.00-3.49,3.00-3.49,3.00-3.49,2.50-2.99,no_data,2.50-2.99,2.50-2.99,3.50-4.00,Loan,IPTS,A,A,Band 4,A,B,A,B,B,C,A,A,no_data,no_data,MELAKA,Malaysian,Chinese,Female,No,Other,Services,Lawyer/Legal Asst,3,0
U2022_5,Yes,Lawyer,MLAKA,L.L.B. (Hons),LAW,No,2.50-2.99,3.00-3.49,3.00-3.49,2.50-2.99,3.00-3.49,3.50-4.00,2.50-2.99,2.50-2.99,no_data,2.50-2.99,2.00-2.49,3.50-4.00,Loan,IPTS,A,A,Band 4,A,A,C,C,C,B,A,no_data,no_data,no_data,MELAKA,Malaysian,Indian,Male,No,Single,Services,Lawyer/Legal Asst,3,0
U2022_6,Yes,Assistant Counsel,MLAKA,L.L.B. (Hons),LAW,No,2.50-2.99,3.00-3.49,3.50-4.00,3.50-4.00,3.00-3.49,3.00-3.49,3.00-3.49,3.00-3.49,no_data,3.00-3.49,3.00-3.49,3.50-4.00,Loan,STPM,B,B,Band 4,A,A,no_data,no_data,no_data,no_data,A,B,A,A,PERAK,Malaysian,Chinese,Male,No,Single,Services,Lawyer/Legal Asst,3,0
U2022_7,Yes,Lawyer,MLAKA,L.L.B. (Hons),LAW,No,3.00-3.49,3.00-3.49,3.00-3.49,2.50-2.99,3.00-3.49,3.00-3.49,3.00-3.49,2.50-2.99,no_data,2.50-2.99,2.50-2.99,3.50-4.00,Loan,IPTS,C,A,Band 4,A,B,no_data,no_data,no_data,no_data,A,C,A,A,MELAKA,Malaysian,Chinese,Male,No,Single,Services,Lawyer/Legal Asst,3,0
U2022_8,Yes,Assistant Counsel,MLAKA,L.L.B. (Hons),LAW,No,2.00-2.49,2.50-2.99,3.00-3.49,3.00-3.49,2.50-2.99,2.50-2.99,3.00-3.49,2.50-2.99,no_data,2.00-2.49,2.50-2.99,3.00-3.49,Loan,STPM,A,A,Band 4,A,A,B,A,A,B,A,B,A,no_data,KUALA LUMPUR,Malaysian,Chinese,Female,No,Single,Services,Lawyer/Legal Asst,3,0
U2022_9,Yes,Assistant Counsel,MLAKA,L.L.B. (Hons),LAW,No,2.50-2.99,3.00-3.49,3.50-4.00,3.00-3.49,3.00-3.49,3.00-3.49,2.50-2.99,2.50-2.99,no_data,2.50-2.99,2.50-2.99,3.50-4.00,Loan,STPM,A,A,Band 5,A,A,A,A,A,A,A,no_data,no_data,no_data,NEGERI SEMBILAN,Malaysian,Indian,Male,No,Single,Services,Lawyer/Legal Asst,3,0
U2022_11,Yes,Assistant Counsel,MLAKA,L.L.B. (Hons),LAW,No,3.00-3.49,3.50-4.00,3.50-4.00,3.50-4.00,3.00-3.49,3.00-3.49,3.00-3.49,2.50-2.99,no_data,2.50-2.99,2.00-2.49,3.50-4.00,Loan,IPTS,A,A,Band 5,B,A,C,B,D,B,no_data,no_data,no_data,no_data,KEDAH,Malaysian,Malay,Female,No,Single,Services,Lawyer/Legal Asst,3,0
U2022_12,Yes,Professional Trainer,MLAKA,L.L.B. (Hons),LAW,No,2.50-2.99,3.00-3.49,3.00-3.49,3.00-3.49,3.00-3.49,3.50-4.00,3.00-3.49,3.00-3.49,no_data,3.00-3.49,2.50-2.99,3.00-3.49,Loan,IPTS,B,A,Band 4,A,A,C,B,no_data,B,no_data,B,no_data,no_data,JOHOR,Malaysian,Chinese,Female,No,Single,Services,Lawyer/Legal Asst,4,1
