Student_Index,Attorneys and Law Offices,Engineering,Arts and Crafts,Management,Online Advertising,Public Relations,Web Design and Development,Human Resources,Media,Art Dealers and Galleries,State,District,Faculty_Domain,GOT,Employed
U2022_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SARAWAK,MIRI,LAW,Yes,Yes
U2022_10,0.0,8.0,6.0,0.0,8.0,0.0,8.0,0.0,7.0,5.0,SABAH,PENAMPANG,LAW,Yes,No
U2022_100,5.0,7.0,0.0,3.0,2.0,8.0,2.0,7.0,2.0,0.0,SELANGOR,SEPANG,LAW,Yes,No
U2022_1000,8.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,10.0,4.0,SELANGOR,PETALING,LAW,No,Yes
U2022_1001,8.0,3.0,5.0,1.0,1.0,1.0,1.0,3.0,0.0,4.0,KEDAH,KUALA MUDA,FCM,No,No_data
U2022_1002,1.0,8.0,6.0,1.0,1.0,8.0,8.0,8.0,1.0,1.0,SELANGOR,HULU LANGAT,LAW,No,Yes
U2022_1003,8.0,8.0,6.0,1.0,7.0,8.0,0.0,8.0,1.0,4.0,JOHOR,MUAR,MANAGEMENT,Yes,Yes
U2022_1004,8.0,0.0,6.0,1.0,0.0,8.0,8.0,8.0,0.0,6.0,PULAU PINANG,SEBERANG PERAI TENGAH,LAW,No,Yes
U2022_1005,8.0,8.0,6.0,0.0,1.0,0.0,5.0,8.0,1.0,3.0,JOHOR,LEDANG,MANAGEMENT,Yes,Yes
U2022_1006,3.0,8.0,0.0,1.0,4.0,8.0,3.0,8.0,1.0,6.0,PUTRAJAYA,PUTRAJAYA,MANAGEMENT,No,No_data
U2022_1007,8.0,8.0,0.0,1.0,1.0,8.0,1.0,8.0,1.0,6.0,NEGERI SEMBILAN,SEREMBAN,ENGINEERING,No,Yes
U2022_1008,2.0,8.0,0.0,8.0,0.0,6.0,0.0,8.0,8.0,3.0,KELANTAN,GUA MUSANG,ENGINEERING,Yes,Yes
U2022_1009,8.0,8.0,6.0,5.0,8.0,8.0,6.0,8.0,5.0,6.0,SELANGOR,HULU LANGAT,MANAGEMENT,Yes,Yes
U2022_101,1.0,0.0,3.0,8.0,5.0,8.0,2.0,8.0,8.0,8.0,SELANGOR,SEPANG,FAC,Yes,Yes
